true_label,feature,delta_sign,mdri_base,mdri_mut,mdri_change
Neuropathy,Variance of Central Frequency (VCF),minus,99.1331,97.2815,-1.8516
Neuropathy,Variance of Central Frequency (VCF),plus,99.1331,99.9346,0.8016
Neuropathy,RMS Envelope (RMSE),minus,99.1331,97.9222,-1.2109
Neuropathy,RMS Envelope (RMSE),plus,99.1331,98.9451,-0.1879
Neuropathy,Standard Deviation (SD),minus,95.7310,98.7934,3.0624
Neuropathy,Standard Deviation (SD),plus,95.7310,89.8692,-5.8619
Neuropathy,Integrated EMG (IEMG),minus,95.7310,96.1328,0.4018
Neuropathy,Integrated EMG (IEMG),plus,95.7310,97.1733,1.4423
Neuropathy,Turn Count (TC),minus,95.7310,93.8593,-1.8717
Neuropathy,Turn Count (TC),plus,95.7310,99.4791,3.7480
Neuropathy,Willison Amplitude (WAMP),minus,95.7310,99.4319,3.7009
Neuropathy,Willison Amplitude (WAMP),plus,95.7310,91.8578,-3.8732
Neuropathy,Motor Unit Action Potential (MUAP),minus,95.7310,99.9406,4.2095
Neuropathy,Motor Unit Action Potential (MUAP),plus,95.7310,87.4203,-8.3108
Neuropathy,Total Power (TP),minus,95.7310,99.3180,3.5869
Neuropathy,Total Power (TP),plus,95.7310,93.2745,-2.4566
Neuropathy,Variance of Central Frequency (VCF),minus,95.7310,94.2626,-1.4684
Neuropathy,Variance of Central Frequency (VCF),plus,95.7310,99.4907,3.7597
Neuropathy,RMS Envelope (RMSE),minus,95.7310,98.3569,2.6259
Neuropathy,RMS Envelope (RMSE),plus,95.7310,92.0701,-3.6610
Neuropathy,Standard Deviation (SD),minus,99.9759,99.9780,0.0021
Neuropathy,Standard Deviation (SD),plus,99.9759,99.9704,-0.0055
Neuropathy,Integrated EMG (IEMG),minus,99.9759,99.9657,-0.0102
Neuropathy,Integrated EMG (IEMG),plus,99.9759,99.9806,0.0047
Neuropathy,Turn Count (TC),minus,99.9759,99.9122,-0.0637
Neuropathy,Turn Count (TC),plus,99.9759,99.9949,0.0190
Neuropathy,Willison Amplitude (WAMP),minus,99.9759,99.9687,-0.0072
Neuropathy,Willison Amplitude (WAMP),plus,99.9759,99.9694,-0.0065
Neuropathy,Motor Unit Action Potential (MUAP),minus,99.9759,99.9825,0.0066
Neuropathy,Motor Unit Action Potential (MUAP),plus,99.9759,99.9542,-0.0217
Neuropathy,Total Power (TP),minus,99.9759,99.9546,-0.0213
Neuropathy,Total Power (TP),plus,99.9759,99.9785,0.0026
Neuropathy,Variance of Central Frequency (VCF),minus,99.9759,99.9519,-0.0240
Neuropathy,Variance of Central Frequency (VCF),plus,99.9759,99.9754,-0.0005
Neuropathy,RMS Envelope (RMSE),minus,99.9759,99.9418,-0.0341
Neuropathy,RMS Envelope (RMSE),plus,99.9759,99.9914,0.0155
Neuropathy,Standard Deviation (SD),minus,99.9913,99.9964,0.0051
Neuropathy,Standard Deviation (SD),plus,99.9913,99.9935,0.0022
Neuropathy,Integrated EMG (IEMG),minus,99.9913,99.9927,0.0014
Neuropathy,Integrated EMG (IEMG),plus,99.9913,99.9897,-0.0016
Neuropathy,Turn Count (TC),minus,99.9913,99.9972,0.0059
Neuropathy,Turn Count (TC),plus,99.9913,99.9508,-0.0405
Neuropathy,Willison Amplitude (WAMP),minus,99.9913,99.9951,0.0038
Neuropathy,Willison Amplitude (WAMP),plus,99.9913,99.9575,-0.0338
Neuropathy,Motor Unit Action Potential (MUAP),minus,99.9913,99.9966,0.0053
Neuropathy,Motor Unit Action Potential (MUAP),plus,99.9913,99.9803,-0.0110
Neuropathy,Total Power (TP),minus,99.9913,99.9882,-0.0031
Neuropathy,Total Power (TP),plus,99.9913,99.9959,0.0046
Neuropathy,Variance of Central Frequency (VCF),minus,99.9913,99.9729,-0.0183
Neuropathy,Variance of Central Frequency (VCF),plus,99.9913,99.9993,0.0080
Neuropathy,RMS Envelope (RMSE),minus,99.9913,99.9965,0.0052
Neuropathy,RMS Envelope (RMSE),plus,99.9913,99.9830,-0.0083
